Rank,Institution,Country,academic_reputation_score,academic_reputation_rank,employer_reputation_score,"Employer Reputation
 RANK","Faculty Student
 SCORE","Faculty Student
 RANK","Citations per Faculty
 SCORE","Citations per Faculty
 RANK","International Faculty
 SCORE","International Faculty
 RANK","International Students
 SCORE","International Students
 RANK","International Research Network
 SCORE","International Research Network
 RANK","Employment Outcomes
 SCORE","Employment Outcomes
 RANK","Sustainability
 Score","Sustainability
 Rank",Overall
171,Washington University in St. Louis,United States,36.3,241,12,601+,99.7,29,47.7,283,85.4,220,72.4,201,83.6,270,31.9,396,86.7,114=,49.9
178,"University of California, Santa Barbara (UCSB)",United States,52.6,154,21.3,432,7.7,701+,97.8,37,75.4,261,17.2,583,71.2,466,7.9,701+,28.4,456=,48.9
179,"The University of Newcastle, Australia (UON)",Australia,28.3,312,24.5,392,28.7,537,91.7,70,99.9,89,24.2,487,82,289,14.8,670,92.4,74,48.7
179,Universidad de los Andes,Colombia,67.7,100,88.4,54,14.2,701+,5.9,701+,22.8,560,1.9,701+,55.2,692,98.2,26,80,155,48.7
181,Universiti Teknologi Malaysia ,Malaysia,48.6,166,59.6,134,46,337,40.5,347,14.1,683,86.9,142,82.9,279,18,600,52.1,305=,48.5
181,Waseda University,Japan,60.7,122,96.1,30,23.5,616,3.8,701+,27.9,507,28,445,66.4,533,83.7,106,56.1,282=,48.5
183,Hamad Bin Khalifa University,Qatar,12.9,601+,4.7,601+,99.9,20,100,8,100,9,100,10,74.3,417,6,701+,2.6,701+,48.3
184,University of York,United Kingdom,42.9,201,30.1,313,43,364,40.1,353,87.8,204,75.6,184,92.5,128,23.5,480,97.4,29,48.2
185,Tecnológico de Monterrey,Mexico,53.8,149,91.4,47,62.5,223,2.4,701+,20.8,589,10.6,701+,56.6,670,96.1,43,54.4,291=,48.1
186,Cardiff University,United Kingdom,46.8,171,43.2,213,36.1,441,30,437,82.8,229,67.7,219,92.3,132,18.9,584,96,46=,47.6
187,École Normale Supérieure de Lyon,France,29.8,296,16.3,522,97,49,93.5,59,59,329,11.7,684,70.3,482,14,694,6.6,701+,47.5
188,Keio University,Japan,53,151,91.6,46,57.2,257,5.1,701+,9.4,701+,10.2,701+,57.5,658,91.4,69,59,271=,47.4
189,University of Ottawa,Canada,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93,119,39.8,323,92.9,72,47.3
190,Technische Universität Wien,Austria,33.9,258,50.4,178,12.5,701+,73.8,139,85.5,218,90.4,120,71.6,457,19.1,577,11.3,636=,47.2
191,Universität Hamburg,Germany,50.7,159,35.7,264,16.5,701+,54.7,233,40.2,418,20.4,532,93.4,109,42.8,300,90.6,91,47.1
192,Tongji University,China (Mainland),31.8,276,16.9,508,29.1,533,96.9,44,54.5,345,26.5,457,72.9,442,24,473,81.4,147,46.9
193,Queen's University at Kingston,Canada,40.8,209,56.7,144,5.4,701+,42.6,322,69.2,287,26.6,456,71.2,467,87.1,93,93.8,64=,46.8
194,University of Gothenburg,Sweden,35.4,247,18.3,481,60.9,235,33.6,394,90,191,78.2,180,94.2,91,63.1,189,92.8,73,46.7
194,Wuhan University,China (Mainland),39.2,218,40.5,233,14,701+,91.9,69,39.2,423,4.9,701+,78.2,356,46.5,275,22.2,513=,46.7
196,Emory University,United States,25.2,349,19,469,93.8,70,78.4,120,52.2,355,33.9,399,85.6,237,22.8,502,37,391=,46.6
197,Deakin University,Australia,31.3,282,23.9,400,4.6,701+,73.6,140,96.4,135,63.8,236,82.7,280,36.8,347,93.7,66,46.4
198,Universidad Autónoma de Madrid,Spain,61,119,64.3,123,29.1,534,21,546,7.7,701+,10.4,701+,92,136,43.1,297,79.6,156=,46.3
198,University of Calgary,Canada,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,46.3
200,Arizona State University,United States,48.6,165,44.1,209,7.4,701+,47.1,289,52.1,357,37.2,378,95.7,66,23.6,479,96.3,41=,46.2
200,King Saud University,Saudi Arabia,39.4,216,28.7,332,54.3,281,40,354,99.4,98,15,622,95.1,75,99,17,33,420=,46.2
332,American University of Sharjah,United Arab Emirates,20.9,421,38.6,245,19.1,696,23.9,511,100,3,100,8,48.1,701+,48,267,16.5,567=,33.6
203,Université catholique de Louvain (UCLouvain),Belgium,48.4,168,25.9,367,4.6,701+,55,230,91,186,47.6,306,89.9,169,76.4,135,27.1,471=,46
203,University of Minnesota Twin Cities,United States,56.8,137,33.1,284,32.4,486,41.9,327,7.7,701+,8.7,701+,91.7,145,52.5,241,96.5,37=,46
205,Ecole des Ponts ParisTech,France,8.9,601+,58.5,138,99,38,62.6,186,43.5,404,96.5,84,37.3,701+,59.5,207,10.8,650=,45.8
206,Queen's University Belfast,United Kingdom,35.4,249,33.6,279,28.6,543,40.6,345,100,74,98.2,67,92.8,124,9.9,701+,88.9,103=,45.7
206,Universitas Indonesia,Indonesia,53.8,148,79.2,79,55.7,268,2.1,701+,88.3,202,7.1,701+,37.2,701+,77.3,131,32.7,424=,45.7
208,The Ohio State University,United States,58.6,130,50.4,176,39.5,392,31.2,423,13.4,696,10.6,701+,94.6,87,45.3,281,50.8,315=,45.6
209,Tel Aviv University,Israel,32,275,18.6,474,4.2,701+,99.4,20,39.7,419,7,701+,77.9,362,88.4,85,46.2,334=,45.2
210,National Tsing Hua University,Taiwan,54.8,143,71.2,99,28,549,49.6,268,9.5,701+,11.1,695,45,701+,16.3,629,32.1,428=,45.1
211,Indian Institute of Science,India,45.7,181,26.3,362,37.9,419,99.9,11,3.7,701+,1.5,701+,39.1,701+,13.1,701+,23.7,500=,45
212,Albert-Ludwigs-Universitaet Freiburg,Germany,43.1,198,24.5,394,24.6,597,52.2,248,67.6,290,33.7,401,92.3,131,32.5,391,90,94=,44.8
213,Queensland University of Technology (QUT),Australia,39.8,214,33.1,285,8.1,701+,59.9,202,97.9,122,20.7,530,83.4,274,19,581,89.4,100,44.7
214,University of Otago,New Zealand,45,187,24.6,388,12.8,701+,38.8,361,100,50,37.6,375,79.5,332,59.1,208,96,48,44.4
215,National Cheng Kung University (NCKU),Taiwan,51.5,157,74,90,33.4,472,20.3,554,16.3,646,13.9,642,58.7,648,42.4,306,83.8,131,44.2
215,University of Florida,United States,46.7,172,42.3,220,62.9,220,32.1,411,17.8,630,10.3,701+,98.3,21,44.5,286,60.6,266=,44.2
217,La Trobe University,Australia,23.6,370,19.8,457,8,701+,77.7,123,92.6,172,95,97,78.6,345,19.6,570,78.4,166=,44.1
218,"University of Maryland, College Park",United States,48.6,167,29.4,317,32.5,484,55,231,20.9,588,16.2,603,92.3,133,41.2,311,54.4,291=,44
219,National Yang Ming Chiao Tung University,Taiwan,32.9,267,62.7,128,51.1,300,52.7,245,19.6,607,19.2,564,53.7,701+,58.3,210,38.8,379=,43.9
219,Universidad Nacional de Colombia,Colombia,71,88,89.9,53,5.4,701+,3.4,701+,5.6,701+,1.4,701+,65.9,543,42.6,302,53.1,298=,43.9
221,Vrije Universiteit Amsterdam,Netherlands,39.4,217,17.8,494,21.3,650,63.7,179,67.3,293,47.4,310,89,184,45.1,282,50.8,315=,43.8
222,Eberhard Karls Universität Tübingen,Germany,46,177,30.7,307,87.1,98,20.5,550,76.1,255,26.2,463,93.8,102,30.9,408,33,420=,43.7
222,Indian Institute of Technology Kharagpur (IIT-KGP),India,34,257,51.1,173,9,701+,90.2,76,1.1,701+,1.1,701+,69.3,492,33,386,44.3,348=,43.7
224,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,25.8,345,27.7,346,3.2,701+,94.9,50,27.2,516,48.8,300,87.1,213,19.6,568,74.5,193=,43.6
224,Loughborough University,United Kingdom,29.7,299,55.3,151,23.8,613,32.4,406,87.1,212,68.6,216,87.1,214,23.2,488,93.8,64=,43.6
224,University of Lausanne,Switzerland,28.4,310,18.8,471,36.8,435,61,195,100,67,54.2,271,79.8,328,51.8,244,51.2,313=,43.6
227,Indian Institute of Technology Madras (IITM),India,42.4,203,63.2,127,20.3,663,70.3,154,3.9,701+,1.6,701+,37.5,701+,27,444,44.6,343=,43.5
227,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,52.8,153,24.1,399,62.7,221,17.2,598,44.3,399,38.9,361,94.7,83,35.4,357,83.2,138,43.5
229,Chulalongkorn University,Thailand,68.2,97,35.9,261,31.7,499,7.5,701+,18.7,617,3,701+,79.6,331,93.6,60,73.2,198=,43.4
230,Maastricht University ,Netherlands,23,389,27.8,345,13.2,701+,62.8,185,99.4,97,100,20,80.5,312,38.2,337,52.5,302=,43
230,Universite libre de Bruxelles,Belgium,33.3,263,34.5,273,3,701+,49.9,263,98.7,110,84.4,155,87.5,203,65.5,179,25.2,490,43
232,Universidade Estadual de Campinas (Unicamp),Brazil,71.8,87,40.3,236,14.7,701+,24.3,506,10.7,701+,2.7,701+,85.4,241,25.1,465,65.9,236=,42.9
233,University of Twente,Netherlands,20.7,424,32,294,43.3,362,61.3,193,100,83,90.4,119,87.6,202,20,562,13.8,603,42.7
234,Technische Universität Dresden,Germany,36.3,240,42.5,216,80.3,134,28.5,455,35.8,445,27.6,450,93.8,104,8.8,701+,75.8,181=,42.6
235,University of Waikato,New Zealand,19.1,473,11.7,601+,12.4,701+,84.7,94,99,107,56.9,261,55.1,697,46.4,276,89.5,99,42.5
236,Università di Padova,Italy,58.9,129,27.3,351,8.5,701+,45.7,302,9.2,701+,11.1,694,94.9,79,18.8,590,87.7,110,42.3
236,University of Aberdeen,United Kingdom,30.5,292,28.8,330,32.7,482,32,412,94.5,154,92.6,103,88.5,190,22.2,519,96.5,37=,42.3
236,University of Rochester,United States,22.6,396,20.8,441,99.1,35,33.6,395,63.9,306,93.8,100,64.3,568,40.4,316,63.7,247=,42.3
239,Gadjah Mada University,Indonesia,54.4,145,73.5,91,57.6,255,1.7,701+,40.3,417,4.1,701+,38.1,701+,69,167,26.8,473=,41.8
239,Massey University,New Zealand,30.1,293,14,585,48,324,27.4,473,98.5,112,95.2,96,85.1,244,49.2,259,91.4,81=,41.8
241,Politecnico di Torino,Italy,40.2,213,52.1,165,3.1,701+,51.6,254,4.9,701+,41,349,81.4,297,30.6,412,77.9,169,41.7
241,Technical University of Darmstadt,Germany,20,444,35.9,260,6.7,701+,70,155,60.3,323,81.4,167,65.9,544,44.4,288,71.8,211=,41.7
243,Dartmouth College,United States,22.8,392,31,303,65.8,200,60.6,200,9.2,701+,40.9,351,42.5,701+,68.8,168,71.2,214=,41.3
244,Victoria University of Wellington,New Zealand,42.8,202,21.4,429,10.1,701+,32.1,410,100,82,31,420,70.7,475,71.6,151,91.4,81=,41.2
245,University of Macau,Macau SAR,11.9,601+,10.5,601+,9.8,701+,99.1,23,100,21,99.9,36,57,664,50.3,253,7.7,701+,41.1
246,Charles University,Czech Republic,45.6,182,49.1,183,32.2,491,8,701+,25,535,50.5,291,96.3,51,65.5,178,77.4,173=,41
246,University of Sussex,United Kingdom,22.6,395,10.4,601+,15.5,701+,56.8,220,99.6,95,84.9,152,84.7,252,39.9,322,97.7,26=,41
248,Vanderbilt University,United States,24.4,356,21.8,423,100,13,53,242,30.1,493,36,383,78.6,344,34.7,364,24.5,492=,40.8
249,University of Navarra,Spain,30.6,291,68,108,49.6,315,14.7,642,24.8,537,73.8,196,63.6,578,75.8,137,42.3,355=,40.7
250,American University of Beirut (AUB),Lebanon,28.6,307,29.5,315,48.5,322,28.9,449,63.2,310,37,379,73.1,438,97,35,80.5,152=,40.6
251,Taylor's University,Malaysia,27,323,81,72,71.5,185,10.1,701+,64.8,303,99.6,43,41.4,701+,4.2,701+,22.2,513=,40.5
252,Harbin Institute of Technology,China (Mainland),27.1,321,21.1,435,33.7,468,99.8,14,8,701+,5,701+,68.6,507,28.3,434,14.6,597=,40.3
252,Hong Kong Baptist University,Hong Kong SAR,18.2,499,12,601+,60,242,61.4,192,98.9,109,100,19,37,701+,15.7,641,54.4,291=,40.3
252,University of Göttingen,Germany,46.4,175,27.1,355,76.4,156,16.2,620,49.7,369,22.4,512,95.1,76,40.3,317,32.1,428=,40.3
255,Griffith University,Australia,27,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
256,Bandung Institute of Technology (ITB),Indonesia,43.2,197,72.7,95,55.8,266,2.6,701+,94.4,158,3.8,701+,26.3,701+,49.2,260,37.6,388=,39.9
256,Heriot-Watt University,United Kingdom,17.8,507,27.1,356,17.6,701+,65.2,171,100,79,98.1,69,75.4,402,26.3,451,25.7,483=,39.9
258,University of Warsaw ,Poland,50,163,53.6,158,46.4,330,5.5,701+,10.5,701+,8.4,701+,84.1,262,60,203,69.8,222,39.8
259,Case Western Reserve University,United States,17.2,523,15.4,546,82.3,119,61.6,191,35.7,447,71.7,205,55.6,681,29.3,424,53.1,298=,39.7
260,University of Lisbon ,Portugal,44,193,20.7,443,10.7,701+,36.5,376,9,701+,39.4,356,98.2,23,94,57,70.9,217=,39.6
523,Canadian University Dubai,United Arab Emirates,20.1,442,19.9,455,33.5,471,2.7,701+,100,4,100,6,14,701+,17.4,609,1.6,701+,23.5
261,University of Canterbury | Te Whare Wananga o Waitaha,New Zealand,34.7,253,27.3,352,10.4,701+,31.4,419,100,77,27.7,449,63,585,82.3,109,91.1,86=,39.4
263,Indian Institute of Technology Kanpur (IITK),India,36.9,234,56.9,142,14,701+,73.3,142,2.6,701+,1.1,701+,38.8,701+,19.6,567,22,516=,39.3
264,Norwegian University of Science And Technology,Norway,33.2,264,25.2,378,22.3,629,30.4,435,75.1,264,9.3,701+,94.4,89,89.4,79,85.8,121=,39.1
265,UCSI University,Malaysia,27,326,65.1,120,78.1,150,3.6,701+,89.1,196,95.8,91,37.6,701+,10.2,701+,27.9,462=,38.8
265,Universitat Pompeu Fabra (Barcelona),Spain,31.7,279,29.4,319,12.1,701+,67.1,163,75.6,259,24.5,482,74,421,16.4,626,27.9,462=,38.8
267,University of Antwerp,Belgium,24.1,361,11.3,601+,37.5,427,48.1,278,94.4,157,32,415,94.6,85,44.8,284,74.8,190=,38.7
267,University of Witwatersrand,South Africa,26.5,332,42.1,223,8.9,701+,30.5,432,75.1,263,5.8,701+,96.8,46,98.9,18,84.8,127=,38.7
269,Tianjin University,China (Mainland),17.2,527,13.5,597,38.8,407,99.5,18,24.8,538,25.4,473,65.2,554,32.4,392,16.9,563=,38.6
269,Universiti Teknologi PETRONAS (UTP),Malaysia,19.5,458,28.1,341,38.5,412,79,117,83.9,224,20.1,537,63.9,577,4.1,701+,18.4,549=,38.6
271,Beijing Normal University ,China (Mainland),33.9,259,10.3,601+,24.2,605,92.6,65,6.6,701+,21.3,524,70.8,471,10.5,701+,19.7,537=,38.5
272,Radboud University ,Netherlands,28,315,14.1,582,27,561,66,167,81.3,233,18.6,573,93.9,101,19.6,571,39.8,369=,38.4
273,University College Cork,Ireland,30.1,294,35.1,270,22.1,636,28.5,457,89,198,52.1,281,69.1,497,34,371,91,88,38.3
273,University of Galway,Ireland,26.2,339,30.3,311,63.2,217,13.2,664,95.2,144,43.2,333,81.3,301,46.6,274,85.9,120,38.3
275,Dalhousie University,Canada,19.4,463,16.7,513,12.9,701+,53.5,239,99.9,86,74.6,189,77.4,369,30.1,416,87.9,109,38.2
275,University of Massachusetts Amherst,United States,38.2,224,17.2,498,10,701+,48.8,274,61,321,25.3,474,79.8,327,30.6,411,83.4,136=,38.2
275,University of Pittsburgh,United States,35,251,12.7,601+,96.3,52,31.3,420,9.5,701+,13.5,650,91.7,141,42.6,303,53.5,295=,38.2
278,University of Porto,Portugal,41.3,206,17.9,492,10.8,701+,59.6,205,6.6,701+,19.8,543,95.1,77,39.1,327,53.1,298=,38.1
278,Vrije Universiteit Brussel (VUB),Belgium,23.3,381,13.7,592,76.1,159,18.2,581,93.6,165,58.2,255,93.1,115,51.8,243,72.1,208=,38.1
280,Ulsan National Institute of Science and Technology (UNIST),South Korea,13.6,601+,13.5,601+,87.9,95,98.1,34,29.3,499,9.6,701+,24.8,701+,3.3,701+,16.1,577=,38
281,The Hebrew University of Jerusalem,Israel,32.8,269,18.2,484,79.3,143,19.4,563,53.2,349,23.8,492,77.8,364,94.6,54,34.2,413=,37.9
281,University of Strathclyde,United Kingdom,25.9,343,30,314,16.7,701+,31.8,416,93,170,64,235,85,246,33.6,376,88.6,107,37.9
283,Université Paris 1 Panthéon-Sorbonne ,France,65.6,104,33.3,280,4.6,701+,2.9,701+,34.3,467,46.5,317,70.3,481,74.8,140,23.7,500=,37.5
284,Southern University of Science and Technology,China (Mainland),9.3,601+,2.5,601+,89.7,85,98.8,29,37.5,430,1.4,701+,48.3,701+,1.6,701+,31.6,432=,37.3
285,Middle East Technical University,Turkey,31.2,286,70.2,101,9,701+,22.3,528,12,701+,18.3,576,74.7,412,77.5,130,69.5,223=,37.2
285,Universidad Carlos III de Madrid (UC3M),Spain,33.5,260,56.3,147,49.5,316,4.1,701+,64.8,302,52.3,279,66.3,534,20.7,551,68.3,227,37.2
285,University of Cologne,Germany,35.2,250,30.4,310,15.7,701+,29.3,440,35.9,444,30.1,429,90.8,158,56.8,212,91.9,78=,37.2
285,University of Leicester,United Kingdom,19.8,453,13.7,594,30.8,511,43.4,316,80,238,95.3,95,88.8,187,22.7,504,75,186=,37.2
285,University of Milan,Italy,52.8,152,17,505,6.4,701+,39.6,356,6.5,701+,6.8,701+,85.5,239,44.1,290,74.8,190=,37.2
285,University of Surrey,United Kingdom,19.7,454,17.9,490,22.8,625,55.2,227,97.1,129,87.1,139,86.4,226,20.4,557,28.4,456=,37.2
291,Swinburne University of Technology,Australia,13.9,601+,11.4,601+,12.4,701+,86.5,88,94.9,150,77.3,183,66.1,538,13.9,696,15.4,585=,37.1
291,University of Bergen,Norway,31.6,280,8.3,601+,64.9,205,28.3,460,93.3,167,16.9,589,90.7,160,63.9,184,33.6,416=,37.1
293,The University of Arizona,United States,37.3,231,22.2,420,44.4,349,38.8,360,31.6,486,15.1,620,94.1,98,37.1,344,40.4,363=,37
293,University of Tasmania,Australia,16,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80,323,15.9,636,85.6,123,37
295,Xi’an Jiaotong University,China (Mainland),19,474,39.4,238,14,701+,89.5,77,3.9,701+,3.8,701+,80.5,315,26.4,448,18.2,553=,36.9
296,Stellenbosch University,South Africa,26.1,342,35.8,262,3.5,701+,61.9,190,19.7,605,8,701+,94.8,80,85.2,101,22,516=,36.7
297,University of Virginia,United States,37.3,230,27.3,353,55.8,267,29.1,446,6.1,701+,11.3,690,81.6,295,77.9,129,35.4,400=,36.6
298,Bauman Moscow State Technical University,Russia,36.2,242,51.9,169,99.9,22,1.4,701+,65.6,298,70,210,15.2,701+,7.7,701+,6.8,701+,36.5
298,Swansea University,United Kingdom,23.1,387,43.1,214,25.1,591,27.9,467,71,278,59.6,249,82.3,286,8.3,701+,91.8,80,36.5
300,Huazhong University of Science and Technology,China (Mainland),20.4,431,28.2,337,7.9,701+,99.9,10,5.2,701+,2.7,701+,79.4,335,17.6,606,15,592=,36.4
301,Georgetown University,United States,29.3,302,41.9,224,63,218,14,655,28,506,37.3,377,62.5,597,90.9,71,37,391=,36.3
302,Beijing Institute of Technology,China (Mainland),23.2,384,24.3,396,43.4,361,82,103,5.7,701+,6.7,701+,68.6,505,14.3,681,10.1,661=,35.9
302,Université Paris Cité,France,27.8,319,6.2,601+,9.2,701+,87,87,12,701+,35.2,388,99.2,11,15.2,655,18.4,549=,35.9
304,Linköping University,Sweden,18.5,489,26.6,360,37.9,420,45.4,304,81.9,231,32.6,409,84.6,253,42.4,305,41,360=,35.8
304,Universidade Federal do Rio de Janeiro,Brazil,61.9,112,23.3,407,13.7,701+,7.8,701+,7.6,701+,1.5,701+,79.7,330,81.4,117,59.6,269=,35.8
306,Aalborg University,Denmark,19.9,450,20.8,439,25.5,580,53.2,241,77.3,250,14.9,627,92.1,134,23.3,486,75.6,183,35.7
307,"University of California, Irvine",United States,37.5,229,22.3,419,17.3,701+,40.7,344,43.9,401,58.7,252,84.1,260,11.2,701+,36,397,35.5
308,Airlangga University,Indonesia,37.1,232,79.1,80,57,259,1.5,701+,58,330,6.7,701+,40.3,701+,18.9,585,16.3,570=,35.3
309,Goethe-University Frankfurt am Main,Germany,43.2,196,33.2,282,24.4,600,15.9,621,37.4,432,24.1,489,90.4,166,20.2,560,75,186=,35.2
309,Universität Innsbruck,Austria,20.3,434,7.8,601+,73.1,177,9.3,701+,100,68,100,27,71.5,461,55.8,223,61.6,263=,35.2
311,North Carolina State University,United States,26.7,330,25.4,374,9.8,701+,63.4,181,55,338,17,585,78.1,358,21.5,532,35.7,398=,35.1
